Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
30415876,04/16/2015 10:18:00 PM,04/22/2015 09:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10031,510 WEST 148 STREET,WEST 148 STREET,AMSTERDAM AVE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/22/2015 09:00:00 PM,09 MANHATTAN,1020790041,MANHATTAN,998969,240726,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8274005,-73.946815,"(40.8274005, -73.946815)"
47224792,08/13/2020 07:11:55 AM,08/13/2020 09:34:10 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11205,20 KOSCIUSZKO STREET,KOSCIUSZKO STREET,BEDFORD AVENUE,SPENCER COURT,BEDFORD AVENUE,SPENCER COURT,,BROOKLYN,KOSCIUSZKO STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/13/2020 01:34:12 PM,03 BROOKLYN,3017830016,BROOKLYN,996845,190756,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69024896559728,-73.95458337765753,"(40.69024896559728, -73.95458337765753)"
48125081,11/10/2020 09:02:02 AM,11/12/2020 10:37:16 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Furniture Store,,11354,131-07 40 ROAD,40 ROAD,DELONG STREET,COLLEGE POINT BOULEVARD,DELONG STREET,COLLEGE POINT BOULEVARD,,FLUSHING,40 ROAD,,Closed,,"The Department of Consumer Affairs has already mailed you a complaint form. In order for DCA to be able to help, you must complete that form and return it to DCA along with requested documentation. DCA will contact you approximately 30 days after receiving your complete complaint which we must forward to the reported business for its response. If you do not receive the complaint form within 15 days from the date of your initial request, please call 311 back.",11/12/2020 03:37:19 PM,07 QUEENS,4050667501,QUEENS,1029674,214729,PHONE,Unspecified,QUEENS,,,,,,,,40.7559413259008,-73.83604285013006,"(40.7559413259008, -73.83604285013006)"
26558812,10/25/2013 04:11:45 PM,10/29/2013 11:05:54 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11220,5802 5 AVENUE,5 AVENUE,58 STREET,59 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,04/23/2014 04:11:45 PM,The Department of Parks and Recreation inspected but the condition was not found.,10/29/2013 11:05:21 AM,07 BROOKLYN,3008550037,BROOKLYN,980064,172642,OTHER,Unspecified,BROOKLYN,,,,,,,,40.640538,-74.0150832,"(40.640538, -74.0150832)"
25877367,07/05/2013 12:52:44 PM,09/09/2013 12:00:00 AM,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11201,295 FLATBUSH AVENUE EXTENSION,FLATBUSH AVENUE EXTENSION,WILLOUGHBY STREET,FLEET STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,,The City has removed the graffiti from this property.,09/11/2013 02:34:15 PM,02 BROOKLYN,3020790021,BROOKLYN,989104,191386,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6919858,-73.9824964,"(40.6919858, -73.9824964)"
26237646,09/01/2013 10:02:57 PM,09/01/2013 10:29:49 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,111 KENILWORTH PLACE,KENILWORTH PLACE,GLENWOOD ROAD,HILLEL PLACE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/02/2013 06:02:57 AM,The Police Department responded to the complaint and took action to fix the condition.,09/01/2013 10:29:15 PM,14 BROOKLYN,3075570022,BROOKLYN,998277,170014,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6333146,-73.9494628,"(40.6333146, -73.9494628)"
40213702,09/07/2018 11:00:00 AM,09/07/2018 11:00:00 AM,DOT,Department of Transportation,Street Light Condition,Fixture/Luminaire Out Of Position,,11694,,,,,BEACH CHANNEL DRIVE,BEACH 136 STREET,INTERSECTION,Rockaway Park,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,09/06/2018 11:00:00 AM,14 QUEENS,,QUEENS,1024039,150319,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.5791776,-73.8567624,"(40.5791776, -73.8567624)"
45386429,01/13/2020 03:14:15 PM,01/14/2020 01:35:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,10022,,,,,1 AVENUE,EAST 57 STREET,INTERSECTION,NEW YORK,,,Closed,,The Department of Transportation inspected this complaint and repaired the problem.,01/14/2020 01:35:00 PM,06 MANHATTAN,,MANHATTAN,994521,215551,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.7583082,-73.9629257,"(40.7583082, -73.9629257)"
31797418,10/20/2015 06:37:40 PM,10/26/2015 07:52:59 AM,DOT,Department of Transportation,Street Condition,Cave-in,Street,11224,NEPTUNE AVENUE,NEPTUNE AVENUE,WEST 23 STREET,WEST 24 STREET,,,BLOCKFACE,BROOKLYN,,N/A,Closed,10/30/2015 06:37:40 PM,The City inspected the condition you reported and asked the Department of Environmental Protection to address the issue.,10/26/2015 07:52:07 AM,13 BROOKLYN,,BROOKLYN,986740,149965,PHONE,Unspecified,BROOKLYN,,,,,,,,40.5782949,-73.9910363,"(40.5782949, -73.9910363)"
23447839,06/14/2012 10:15:13 AM,,DOT,Department of Transportation,Street Condition,Wear & Tear,,11232,31 STREET,31 STREET,4 AVENUE,5 AVENUE,,,BLOCKFACE,BROOKLYN,,N/A,Pending,,The Department of Transportation inspected this complaint and repaired the problem.,06/15/2012 11:05:00 AM,Unspecified BROOKLYN,,BROOKLYN,984151,178424,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
31611208,09/25/2015 03:18:30 PM,09/25/2015 11:29:22 PM,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,2574 BEDFORD AVENUE,BEDFORD AVENUE,CLARENDON ROAD,AVENUE D,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/25/2015 11:18:30 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/25/2015 11:28:53 PM,14 BROOKLYN,3051890042,BROOKLYN,996924,172802,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6409691,-73.9543323,"(40.6409691, -73.9543323)"
47499624,09/08/2020 08:39:20 AM,10/29/2020 10:34:26 AM,DPR,Department of Parks and Recreation,Damaged Tree,Entire Tree Has Fallen Down,Street,10469,920 MACE AVENUE,MACE AVENUE,BRONXWOOD AVENUE,RADCLIFF AVENUE,BRONXWOOD AVENUE,RADCLIFF AVENUE,,BRONX,MACE AVENUE,,Closed,,No action was taken because the Department of Parks and Recreation determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,10/29/2020 02:34:34 PM,11 BRONX,2044440001,BRONX,1022790,253753,MOBILE,Unspecified,BRONX,,,,,,,,40.86308392184699,-73.86066643626211,"(40.86308392184699, -73.86066643626211)"
18944036,10/21/2010 09:32:40 PM,10/21/2010 10:37:38 PM,DPR,Department of Parks and Recreation,Animal in a Park,Dog Off Leash,Park,10462,,,,,,,,BRONX,,N/A,Closed,11/04/2010 09:32:40 PM,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time. All complaints are used for future enforcement planning.,10/21/2010 10:37:38 PM,Unspecified BRONX,,BRONX,,,PHONE,Van Cortlandt Park - Healy Field and Gaelic Field,BRONX,,,,,,,,,,
23381375,06/08/2012 10:05:00 PM,06/09/2012 08:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: air condition/ventilation equipment (NV1),,11104,44-15 43 AVENUE,43 AVENUE,44 ST,45 ST,,,ADDRESS,Sunnyside,,N/A,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,06/09/2012 08:00:00 PM,02 QUEENS,4001570040,QUEENS,1006426,210745,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7450951,-73.9199692,"(40.7450951, -73.9199692)"
36282139,05/25/2017 06:36:17 PM,06/12/2017 08:54:21 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,10013,310 GREENWICH STREET,GREENWICH STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",06/12/2017 08:54:21 AM,01 MANHATTAN,1001420025,MANHATTAN,981293,200719,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7176035,-74.0106671,"(40.7176035, -74.0106671)"
34265432,09/06/2016 08:41:50 PM,11/22/2016 12:00:00 AM,DOB,Department of Buildings,Elevator,Elevator - Defective/Not Working,,11374,99-44 62 AVENUE,62 AVENUE,,,,,ADDRESS,Rego Park,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,11/22/2016 12:00:00 AM,06 QUEENS,4021070024,QUEENS,1023609,207125,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7350993,-73.8579788,"(40.7350993, -73.8579788)"
42646555,05/11/2019 03:10:23 PM,05/13/2019 04:42:10 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Noisy,Street,11357,,,,,166 STREET,23 AVENUE,INTERSECTION,WHITESTONE,,N/A,Closed,05/21/2019 03:10:23 PM,"The Department of Transportation inspected the condition you reported and issued a Corrective Action Repair (CAR) to the contractor or utility company. The responsible party has a maximum of 30 days to correct the condition. If after that time the condition still exists, the Agency may issue the responsible party a summons and/or correct the condition.",05/13/2019 04:42:10 AM,07 QUEENS,,QUEENS,1040198,222273,PHONE,Unspecified,QUEENS,,,,,,,,40.7765872,-73.797994,"(40.7765872, -73.797994)"
37562182,10/30/2017 10:13:58 AM,12/10/2017 02:06:48 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10013,188 6 AVENUE,6 AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,12/10/2017 02:06:48 AM,02 MANHATTAN,1005040011,MANHATTAN,983231,203907,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7263542,-74.0036764,"(40.7263542, -74.0036764)"
40053984,08/19/2018 02:59:31 PM,08/19/2018 09:14:16 PM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11418,85-32 108 STREET,108 STREET,85 AVENUE,86 AVENUE,,,ADDRESS,RICHMOND HILL,,Precinct,Closed,08/19/2018 10:59:31 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/19/2018 09:14:16 PM,09 QUEENS,4091970021,QUEENS,1028286,193968,PHONE,Unspecified,QUEENS,,,,,,,,40.6989645,-73.8411887,"(40.6989645, -73.8411887)"
30041163,02/25/2015 06:40:07 PM,06/19/2015 07:43:25 AM,DOT,Department of Transportation,Street Condition,Line/Marking - Faded,Street,11379,,,,,METROPOLITAN AVENUE,80 STREET,INTERSECTION,MIDDLE VILLAGE,,N/A,Closed,03/27/2015 06:40:07 PM,The Department of Transportation inspected the condition. Street markings will be painted in future markings seasons or when contracts are awarded.,06/19/2015 07:42:59 AM,05 QUEENS,,QUEENS,1019841,199173,PHONE,Unspecified,QUEENS,,,,,,,,40.713289,-73.8716171,"(40.713289, -73.8716171)"
16793255,06/03/2010 07:29:00 PM,06/04/2010 03:40:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Running (WC3),,10032,,,W 171 ST,ST NICHOLAS AVE,WEST 171 STREET,ST NICHOLAS AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environment Protection inspected your complaint but could not find the problem you reported. If the condition persists, please call 311 (or 212-639-9675 if calling from a non-New York City area code) with more detailed information to submit a new complaint.",06/04/2010 03:40:00 AM,12 MANHATTAN,,MANHATTAN,1001288,246375,UNKNOWN,Unspecified,MANHATTAN,,,,,,,,40.8429012,-73.9384213,"(40.8429012, -73.9384213)"
37061926,08/29/2017 03:08:08 PM,08/31/2017 12:00:00 AM,DOB,Department of Buildings,Building/Use,No Certificate Of Occupancy/Illegal/Contrary To CO,,11220,765 57 STREET,57 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Buildings reviewed this complaint and closed it. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/31/2017 12:00:00 AM,07 BROOKLYN,3008420052,BROOKLYN,981914,171567,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.637588,-74.0084168,"(40.637588, -74.0084168)"
45111494,12/09/2019 08:58:15 AM,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,11206,685 BROADWAY,BROADWAY,,,,,ADDRESS,BROOKLYN,,N/A,Open,01/17/2020 11:55:23 AM,The graffiti on this property has been scheduled to be removed by the City.,12/18/2019 11:55:22 AM,01 BROOKLYN,3031190008,BROOKLYN,999853,194973,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.7018188,-73.943727,"(40.7018188, -73.943727)"
38760226,03/22/2018 09:08:00 PM,07/31/2018 12:00:00 AM,DSNY,Department of Sanitation,Request Large Bulky Item Collection,Request Large Bulky Item Collection,Sidewalk,11360,28-24 CORPORAL KENNEDY STREET,CORPORAL KENNEDY STREET,28 ROAD,30 AVENUE,,,ADDRESS,Bayside,,N/A,Closed,,,07/31/2018 12:00:00 AM,11 QUEENS,4059900040,QUEENS,1044803,221457,PHONE,Unspecified,QUEENS,,,,,,,,40.7743172,-73.7813746,"(40.7743172, -73.7813746)"
32342943,01/05/2016 11:14:00 AM,01/06/2016 04:22:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),,11212,17 LEGION STREET,LEGION STREET,PITKIN AVE,SUTTER AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and shut the running hydrant.,01/06/2016 04:22:00 AM,16 BROOKLYN,3035140033,BROOKLYN,1006960,182702,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6681224,-73.9181366,"(40.6681224, -73.9181366)"
31815603,10/23/2015 06:44:37 PM,11/16/2015 10:02:13 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11422,142-25 HOOK CREEK BOULEVARD,HOOK CREEK BOULEVARD,,,,,ADDRESS,Rosedale,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",11/16/2015 10:02:13 AM,13 QUEENS,4136270068,QUEENS,1059530,180373,PHONE,Unspecified,QUEENS,,,,,,,,40.6614389,-73.7286628,"(40.6614389, -73.7286628)"
40303038,09/17/2018 08:05:25 AM,09/18/2018 04:16:09 AM,NYPD,New York City Police Department,Blocked Driveway,Partial Access,Street/Sidewalk,11101,13-12 44 AVENUE,44 AVENUE,13 STREET,21 STREET,,,ADDRESS,LONG ISLAND CITY,,Precinct,Closed,09/17/2018 04:05:25 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/18/2018 04:16:09 AM,02 QUEENS,,QUEENS,998801,212399,PHONE,Unspecified,QUEENS,,,,,,,,40.7496507,-73.9474834,"(40.7496507, -73.9474834)"
30519625,04/30/2015 06:41:55 PM,04/30/2015 06:42:40 PM,HRA,HRA Benefit Card Replacement,Benefit Card Replacement,Medicaid,NYC Street Address,,,,,,,,,,,N/A,Closed,,"The Human Resources Administration received your request. If you are eligible for a benefit card replacement, you will receive it in 7 to 10 business days. No further updates will be available by calling 311 or on 311 Online.",,0 Unspecified,,Unspecified,,,ONLINE,Unspecified,Unspecified,,,,,,,,,,
26323690,09/16/2013 01:23:00 PM,09/16/2013 01:23:00 PM,DSNY,BCC - Brooklyn North,Derelict Vehicles,14 Derelict Vehicles,Street,11207,,,,,BARBEY STREET,ARLINGTON AVENUE,INTERSECTION,BROOKLYN,,DSNY Garage,Pending,,The Department of Sanitation removed the items.,09/16/2013 01:23:00 PM,05 BROOKLYN,,BROOKLYN,1014925,187090,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
24788888,01/15/2013 12:00:00 AM,03/01/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11374,63-45 SAUNDERS STREET,SAUNDERS STREET,63 AVENUE,63 DRIVE,,,ADDRESS,Rego Park,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,03/01/2013 12:00:00 AM,06 QUEENS,4030800043,QUEENS,1022091,205096,PHONE,Unspecified,QUEENS,,,,,,,,,,
47430244,09/01/2020 04:45:58 PM,09/30/2020 10:19:09 AM,DOT,Department of Transportation,Street Sign - Missing,St Name - Attached to Pole,Street,11212,1035 EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,ROCHESTER AVENUE,EAST   94 STREET,ROCHESTER AVENUE,EAST   94 STREET,,BROOKLYN,EAST NEW YORK AVENUE,,Closed,,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",09/30/2020 02:19:11 PM,08 BROOKLYN,,BROOKLYN,1004059,181401,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.66455840670485,-73.92859774265781,"(40.66455840670485, -73.92859774265781)"
23016472,04/06/2012 04:05:00 AM,04/17/2012 07:30:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10038,100 WILLIAM STREET,WILLIAM STREET,PLATT ST,JOHN ST,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,04/17/2012 07:30:00 PM,01 MANHATTAN,1000680036,MANHATTAN,982177,197400,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7084939,-74.0074771,"(40.7084939, -74.0074771)"
40947958,11/15/2018 09:25:40 AM,11/15/2018 03:23:05 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11373,78-08 51 AVENUE,51 AVENUE,HILLYER STREET,GORSLINE STREET,,,ADDRESS,ELMHURST,,Precinct,Closed,11/15/2018 05:25:40 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,11/15/2018 03:23:05 PM,04 QUEENS,4024700005,QUEENS,1016007,207858,PHONE,Unspecified,QUEENS,,,,,,,,40.7371418,-73.885406,"(40.7371418, -73.885406)"
28194583,06/05/2014 11:30:00 AM,06/05/2014 11:30:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,LONG ISL EXPY,LONG ISL EXPY,150 ST,,,,,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,06/04/2014 11:30:00 AM,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
20049757,03/17/2011 11:23:13 PM,03/18/2011 12:00:16 AM,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,86 EAST 3 STREET,EAST 3 STREET,2 AVENUE,1 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,03/18/2011 07:23:13 AM,The Police Department responded to the complaint and took action to fix the condition.,03/18/2011 12:00:16 AM,03 MANHATTAN,1004440032,MANHATTAN,987522,203364,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7248633,-73.9881953,"(40.7248633, -73.9881953)"
29946822,02/14/2015 02:03:41 PM,02/14/2015 03:44:53 PM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10025,875 WEST END AVENUE,WEST END AVENUE,WEST 102 STREET,WEST 103 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,02/14/2015 10:03:41 PM,The Police Department responded to the complaint and determined that police action was not necessary.,02/14/2015 03:44:46 PM,07 MANHATTAN,1018900024,MANHATTAN,992525,230563,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7995142,-73.970112,"(40.7995142, -73.970112)"
21964724,11/26/2011 08:58:00 PM,12/22/2011 11:24:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,,,,,,DRUMGOOLE RD E,WAINWRIGHT AVE,INTERSECTION,,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,12/22/2011 11:24:00 AM,0 Unspecified,,Unspecified,,,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,
16083845,02/25/2010 12:00:00 AM,03/03/2010 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11420,109-25 116 STREET,116 STREET,109 AVENUE,111 AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Closed,,"More than one complaint was received for this building-wide condition.This complaint status is for the initial complaint.The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file",03/03/2010 12:00:00 AM,0 Unspecified,4115970056,Unspecified,1032906,187519,UNKNOWN,Unspecified,Unspecified,,,,,,,,,,
43309234,07/16/2019 09:34:36 PM,07/17/2019 02:33:14 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,,10472,1516 WATSON AVENUE,WATSON AVENUE,WHEELER AVENUE,ELDER AVENUE,WHEELER AVENUE,ELDER AVENUE,,BRONX,WATSON AVENUE,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/17/2019 06:33:29 AM,09 BRONX,2037130037,BRONX,1017797,240232,PHONE,Unspecified,BRONX,,,,,,,,40.8259931,-73.8787852,"(40.8259931, -73.8787852)"
21389485,09/09/2011 12:16:19 AM,09/09/2011 12:34:12 AM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11204,1824 53 STREET,53 STREET,18 AVENUE,19 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/09/2011 08:16:19 AM,The Police Department responded and upon arrival those responsible for the condition were gone.,09/09/2011 12:34:12 AM,12 BROOKLYN,3054800014,BROOKLYN,989097,167194,PHONE,Unspecified,BROOKLYN,,,,,,,,40.625584,-73.982539,"(40.625584, -73.982539)"
40828974,12/18/2017 02:13:20 PM,01/19/2018 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,,407 CLERMONT AVENUE,CLERMONT AVENUE,,,,,,,,N/A,Closed,,The Department of Buildings investigated this complaint and determined that no further action was necessary.,01/19/2018 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
19660406,01/23/2011 12:49:00 PM,02/05/2011 12:00:00 PM,DSNY,A - Bronx,Snow,E9 Snow / Icy Sidewalk,Sidewalk,10461,,,,,ROSELLE STREET,SILVER STREET,INTERSECTION,BRONX,,N/A,Closed,,The Department of Sanitation investigated this complaint and issued a Notice of Violation.,02/05/2011 12:00:00 PM,11 BRONX,,BRONX,1026447,246646,PHONE,Unspecified,BRONX,,,,,,,,,,
30471978,04/24/2015 12:00:00 AM,05/01/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11233,2308 DEAN STREET,DEAN STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,05/01/2015 12:00:00 AM,16 BROOKLYN,3014480134,BROOKLYN,1008774,185128,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6747763,-73.9115888,"(40.6747763, -73.9115888)"
34359312,09/19/2016 09:05:02 PM,09/19/2016 09:47:37 PM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Horn,Store/Commercial,10028,100 EAST END AVENUE,EAST END AVENUE,EAST 84 STREET,EAST 85 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,09/20/2016 05:05:02 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/19/2016 09:47:37 PM,08 MANHATTAN,1015810023,MANHATTAN,999308,221184,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7737624,-73.9456339,"(40.7737624, -73.9456339)"
33573835,06/11/2016 06:28:11 PM,06/11/2016 06:40:28 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,10016,145 EAST 39 STREET,EAST 39 STREET,LEXINGTON AVENUE,3 AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,06/12/2016 02:28:11 AM,The Police Department responded to the complaint and took action to fix the condition.,06/11/2016 06:40:28 PM,06 MANHATTAN,1008950034,MANHATTAN,990640,212284,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.7493448,-73.9769377,"(40.7493448, -73.9769377)"
23207784,05/10/2012 06:30:51 AM,05/10/2012 09:37:03 AM,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10461,1608 PLYMOUTH AVENUE,PLYMOUTH AVENUE,MIDDLETOWN ROAD,DANIEL STREET,,,ADDRESS,BRONX,,Precinct,Closed,05/10/2012 02:30:51 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,05/10/2012 09:36:16 AM,10 BRONX,2041660115,BRONX,1030748,246805,PHONE,Unspecified,BRONX,,,,,,,,40.8439754,-73.8319442,"(40.8439754, -73.8319442)"
19074323,11/08/2010 02:04:54 PM,11/24/2010 01:06:30 AM,DCA,Department of Consumer Affairs,Consumer Complaint,Rates Not Posted,,10065,222 EAST 65 STREET,EAST 65 STREET,3 AVENUE,2 AVENUE,,,ADDRESS,NEW YORK,,N/A,Closed,11/23/2010 04:19:51 PM,"The Department of Consumer Affairs mailed you a complaint form. If you received the form and have not yet completed it, please do so. Be sure to follow the instructions on the form and return it to DCA with all required documentation. 311 can assist those who have not received the complaint form by creating a new Service Request. Additionally, 311 can assist those who returned the form but want to inquire about the status of the filed complaint.",11/24/2010 01:06:31 AM,08 MANHATTAN,1014197503,MANHATTAN,994455,217994,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7650137,-73.9631602,"(40.7650137, -73.9631602)"
29901629,02/09/2015 12:00:00 AM,04/13/2015 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10027,543 WEST 125 STREET,WEST 125 STREET,AMSTERDAM AVENUE,OLD BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",04/13/2015 12:00:00 AM,09 MANHATTAN,1019820005,MANHATTAN,996176,235892,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8141367,-73.9569157,"(40.8141367, -73.9569157)"
